PubNum,PubDate,PubMainClass,PubSubClass,PubNumClaims
US04062280,1977-12-13,100,19A,22
US04062279,1977-12-13,100,5,7
US04062278,1977-12-13,100,4,21
US04061084,1977-12-06,100,1,4
US04060028,1977-11-29,100,100,6
US04059050,1977-11-22,100,91,9
US04059049,1977-11-22,100,41,6
US04058054,1977-11-15,100,233,4
US04058053,1977-11-15,100,26,16
US04057010,1977-11-08,100,50,14
US04057009,1977-11-08,100,46,7
US04056186,1977-11-01,100,12,10
US04056053,1977-11-01,100,218,2
US04056052,1977-11-01,100,39,5
US04055205,1977-10-25,100,269.21,7
US04055115,1977-10-25,100,34,5
US04054088,1977-10-18,100,214,11
US04054087,1977-10-18,100,347,18
US04051955,1977-10-04,100,229A,4
US04050373,1977-09-27,100,240,4
US04050372,1977-09-27,100,2,12
US04046069,1977-09-06,100,255,11
US04046068,1977-09-06,100,65,22
US04044664,1977-08-30,100,48,4
US04043261,1977-08-23,100,26,5
US04041858,1977-08-16,100,229A,5
US04041857,1977-08-16,100,215,10
US04041856,1977-08-16,100,214,1
US04041855,1977-08-16,100,138,6
US04041854,1977-08-16,100,112,12
US04041853,1977-08-16,100,4,20
US04040344,1977-08-09,100,95,9
US04037528,1977-07-26,100,191,17
US04036126,1977-07-19,100,210,1
US04036125,1977-07-19,100,100,13
US04036124,1977-07-19,100,98R,26
US04034666,1977-07-12,100,231,3
US04033253,1977-07-05,100,118,9
US04033252,1977-07-05,100,99,5
US04033251,1977-07-05,100,95,17
US04033250,1977-07-05,100,52,6
US04033249,1977-07-05,100,3,1
US04030407,1977-06-21,100,4,25
US04027584,1977-06-07,100,218,1
US04026207,1977-05-31,100,214,5
US04026206,1977-05-31,100,117,3
US04026205,1977-05-31,100,88,6
US04026204,1977-05-31,100,350,20
US04024810,1977-05-24,100,116,3
US04024809,1977-05-24,100,100,4
US04024808,1977-05-24,100,89,2
US04024807,1977-05-24,100,350,37
US04024806,1977-05-24,100,52,15
US04024805,1977-05-24,100,12,4
US04024804,1977-05-24,100,5,8
US04023484,1977-05-17,100,215,5
US04023481,1977-05-17,100,319,13
US04023480,1977-05-17,100,47,20
US04023479,1977-05-17,100,5,2
US04022123,1977-05-10,100,229R,6
US04022122,1977-05-10,100,158R,32
US04022121,1977-05-10,100,29,10
US04022120,1977-05-10,100,5,12
US04020756,1977-05-03,100,26,11
US04020755,1977-05-03,100,12,9
US04019431,1977-04-26,100,37,8
US04018169,1977-04-19,100,39,11
US04018150,1977-04-19,100,231,3
US04018149,1977-04-19,100,160,16
US04018148,1977-04-19,100,345,7
US04018147,1977-04-19,100,45,11
US04018146,1977-04-19,100,26,11
US04015520,1977-04-05,100,215,11
US04014256,1977-03-29,100,159,5
US04014255,1977-03-29,100,99,7
US04013003,1977-03-22,100,285,11
US04013002,1977-03-22,100,35,21
US04011810,1977-03-15,100,229A,9
US04011809,1977-03-15,100,48,20
US04011808,1977-03-15,100,26,5
US04011807,1977-03-15,100,2,18
US04010680,1977-03-08,100,152,3
US04010679,1977-03-08,100,346,17
US04009653,1977-03-01,100,88,13
US04008659,1977-02-22,100,214,9
US04008658,1977-02-22,100,341,10
US04007679,1977-02-15,100,342,17
US04007678,1977-02-15,100,52,10
US04007677,1977-02-15,100,45,1
US04006679,1977-02-08,100,138,11
US04006678,1977-02-08,100,1,15
US04005648,1977-02-01,100,345,6
US04005647,1977-02-01,100,4,16
US04003305,1977-01-18,100,257,6
US04003304,1977-01-18,100,117,4
US04002116,1977-01-11,100,100,8
US04002115,1977-01-11,100,343,5
US04002114,1977-01-11,100,49,10
US04000689,1977-01-04,100,229A,9
US04131063,1978-12-26,100,162R,4
US04130055,1978-12-19,100,91,9
US04130054,1978-12-19,100,52,8
US04129071,1978-12-12,100,346,2
US04129070,1978-12-12,100,17,5
US04128055,1978-12-05,100,245,27
US04128054,1978-12-05,100,233,2
US04128053,1978-12-05,100,162R,23
US04127062,1978-11-28,100,215,6
US04127061,1978-11-28,100,100,16
US04126089,1978-11-21,100,250,9
US04126088,1978-11-21,100,45,5
US04125072,1978-11-14,100,207,16
US04125071,1978-11-14,100,191,5
US04125070,1978-11-14,100,116,5
US04125069,1978-11-14,100,45,6
US04125068,1978-11-14,100,19R,4
US04123971,1978-11-07,100,336,5
US04123970,1978-11-07,100,45,6
US04122767,1978-10-31,100,35,11
US04121515,1978-10-24,100,98R,16
US04121514,1978-10-24,100,91,4
US04121513,1978-10-24,100,88,18
US04121512,1978-10-24,100,52,14
US04120243,1978-10-17,100,212,40
US04120242,1978-10-17,100,212,13
US04120241,1978-10-17,100,142,9
US04120240,1978-10-17,100,45,13
US04120239,1978-10-17,100,26,25
US04120238,1978-10-17,100,11,11
US04119028,1978-10-10,100,218,8
US04119027,1978-10-10,100,215,23
US04119026,1978-10-10,100,89,9
US04119025,1978-10-10,100,35,7
US04119024,1978-10-10,100,35,19
US04119023,1978-10-10,100,2,10
US04117777,1978-10-03,100,215,9
US04117776,1978-10-03,100,117,7
US04117775,1978-10-03,100,19R,9
US04116123,1978-09-26,100,233,13
US04116122,1978-09-26,100,48,7
US04116121,1978-09-26,100,39,9
US04114531,1978-09-19,100,90,3
US04114530,1978-09-19,100,87,10
US04114529,1978-09-19,100,349,12
US04114528,1978-09-19,100,47,10
US04114527,1978-09-19,100,2,13
US04112839,1978-09-12,100,33PB,11
US04111116,1978-09-05,100,281,5
